Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-05-14,199.58,205.82,196.21,203.3,20748496,USD,Investing.com,ETHEREUM
2020-05-15,203.29,204.02,192.61,194.85,16624619,USD,Investing.com,ETHEREUM
2020-05-16,194.85,203.12,193.48,200.51,15519956,USD,Investing.com,ETHEREUM
2020-05-17,200.51,209.79,199.77,207.0,15782048,USD,Investing.com,ETHEREUM
2020-05-18,207.0,217.0,207.0,214.87,17725920,USD,Investing.com,ETHEREUM
2020-05-19,214.88,215.75,209.79,214.51,13955815,USD,Investing.com,ETHEREUM
2020-05-20,214.52,215.28,207.03,209.99,12187645,USD,Investing.com,ETHEREUM
2020-05-21,210.0,211.58,192.11,198.75,14363338,USD,Investing.com,ETHEREUM
2020-05-22,198.75,209.04,196.68,207.35,12134671,USD,Investing.com,ETHEREUM
2020-05-23,207.35,211.03,204.97,206.62,9910536,USD,Investing.com,ETHEREUM
2020-05-24,206.65,210.4,199.97,199.97,11887044,USD,Investing.com,ETHEREUM
2020-05-25,199.99,205.52,198.57,204.13,10626424,USD,Investing.com,ETHEREUM
2020-05-26,204.13,204.9,197.3,201.0,10439539,USD,Investing.com,ETHEREUM
2020-05-27,200.99,208.18,200.85,208.18,10283148,USD,Investing.com,ETHEREUM
2020-05-28,208.2,220.33,204.79,220.18,12512150,USD,Investing.com,ETHEREUM
2020-05-29,220.14,224.52,217.84,220.66,12359370,USD,Investing.com,ETHEREUM
2020-05-30,220.66,246.55,218.86,243.63,14341105,USD,Investing.com,ETHEREUM
2020-05-31,243.63,245.33,230.31,231.81,12432950,USD,Investing.com,ETHEREUM
2020-06-01,231.8,249.81,230.85,247.97,11970598,USD,Investing.com,ETHEREUM
2020-06-02,248.01,253.21,227.95,237.94,12686011,USD,Investing.com,ETHEREUM
2020-06-03,237.9,244.76,233.84,244.52,8151002,USD,Investing.com,ETHEREUM
2020-06-04,244.53,246.41,236.68,243.37,8749785,USD,Investing.com,ETHEREUM
2020-06-05,243.37,247.5,239.7,240.23,7754761,USD,Investing.com,ETHEREUM
2020-06-06,240.27,244.43,238.38,242.0,6616781,USD,Investing.com,ETHEREUM
2020-06-07,242.0,244.94,235.44,244.56,8097671,USD,Investing.com,ETHEREUM
2020-06-08,244.56,247.11,241.3,246.18,6551518,USD,Investing.com,ETHEREUM
2020-06-09,246.19,249.45,240.18,243.82,6860348,USD,Investing.com,ETHEREUM
2020-06-10,243.82,249.51,242.54,247.78,7627971,USD,Investing.com,ETHEREUM
2020-06-11,247.79,249.77,227.01,230.71,12403084,USD,Investing.com,ETHEREUM
2020-06-12,230.72,239.23,228.62,237.54,7339022,USD,Investing.com,ETHEREUM
2020-06-13,237.55,238.61,234.86,238.22,5266780,USD,Investing.com,ETHEREUM
2020-06-14,238.23,238.48,230.52,232.02,5778825,USD,Investing.com,ETHEREUM
2020-06-15,231.99,233.34,219.06,230.93,10177071,USD,Investing.com,ETHEREUM
2020-06-16,230.92,235.95,228.99,235.36,7028361,USD,Investing.com,ETHEREUM
2020-06-17,235.37,236.55,228.63,233.88,5942560,USD,Investing.com,ETHEREUM
2020-06-18,233.85,234.69,228.13,231.34,4959991,USD,Investing.com,ETHEREUM
2020-06-19,231.34,231.94,226.97,229.11,5559812,USD,Investing.com,ETHEREUM
2020-06-20,229.11,230.96,226.28,228.86,4538446,USD,Investing.com,ETHEREUM
2020-06-21,228.87,231.18,227.38,228.13,4102533,USD,Investing.com,ETHEREUM
2020-06-22,228.11,246.39,227.69,243.25,7929329,USD,Investing.com,ETHEREUM
2020-06-23,243.24,244.77,240.94,243.2,5163349,USD,Investing.com,ETHEREUM
2020-06-24,243.2,249.23,231.56,234.75,9127950,USD,Investing.com,ETHEREUM
2020-06-25,234.75,235.29,227.99,232.56,6475813,USD,Investing.com,ETHEREUM
2020-06-26,232.57,233.5,228.16,229.67,6958435,USD,Investing.com,ETHEREUM
2020-06-27,229.72,231.3,217.11,221.06,7213219,USD,Investing.com,ETHEREUM
2020-06-28,221.07,227.74,218.46,225.09,5910456,USD,Investing.com,ETHEREUM
2020-06-29,225.09,229.83,221.6,227.87,6801789,USD,Investing.com,ETHEREUM
2020-06-30,227.88,228.57,223.23,225.63,5600729,USD,Investing.com,ETHEREUM
2020-07-01,225.61,232.47,224.33,230.95,6309611,USD,Investing.com,ETHEREUM
2020-07-02,230.96,232.04,223.53,226.42,7284511,USD,Investing.com,ETHEREUM
2020-07-03,226.42,228.14,224.77,225.12,5199649,USD,Investing.com,ETHEREUM
2020-07-04,225.09,230.4,224.8,229.15,5449460,USD,Investing.com,ETHEREUM
2020-07-05,229.09,229.8,223.79,227.98,5410988,USD,Investing.com,ETHEREUM
